野球,ハンドボール,動きのイメージは？,どんな場所が似合う？,どんな音が聞こえそう？
金魚,めだか,色の印象は？,どんな環境にいそう？,動き方はどんな感じ？
メガネ,サングラス,どんな場面で使う？,つけた時の雰囲気は？,明るさの見え方はどう？
浮気,不倫,どんな気持ちの違い？,どんな状況で起きそう？,重さは軽い？重い？
ひらがな,カタカナ,どんな印象の文字？,どんな場面で使いそう？,形の雰囲気は丸い？鋭い？
そば,うどん,どんな時に食べたくなる？,どんな季節のイメージ？,一言で味を例えるなら？
犬,猫,一緒に過ごすならどんな感じ？,どんな性格のイメージ？,距離感は近い？遠い？
忍者,侍,どんな動きのイメージ？,どんな雰囲気の人？,武器はどんな音がしそう？
東京タワー,スカイツリー,どんな景色が似合う？,ライトアップの印象は？,高さのイメージを一言で？
ライオン,チーター,強さの種類は？,動く時の雰囲気は？,どんなスピード感？
飛行機,ヘリコプター,乗ったときの気分は？,音のイメージは？,どんな高さを飛びそう？
水族館,動物園,静か？にぎやか？,匂いはどんなイメージ？,どんな色が思い浮かぶ？
ネックレス,ブレスレット,どんな服に合いそう？,重さはどんな感じ？,つけるとどんな印象？
障子,ふすま,手触りは？,音はしそう？,どんな部屋に合いそう？
お吸い物,味噌汁,朝に合う？夜に合う？,どんな香りのイメージ？,どんな場面で出てきそう？
新幹線,特急,どんな速さの印象？,乗っている時の雰囲気は？,どんな人が使いそう？
ハンバーガー,サンドイッチ,どんなシーンで食べる？,重め？軽め？,手で持った時の感じは？
エレベーター,エスカレーター,どんな時に使う？,動き方の印象は？,静か？にぎやか？
大学,専門学校,雰囲気は広い？狭い？,どんな人が通っていそう？,忙しさはどんなイメージ？
小説,漫画,読むペースは速い？遅い？,どんな時に読みたい？,雰囲気は重い？軽い？
電気,ガス,どんな場面で使う？,なくなったら何が困る？,どんな“色”の印象？
メール,チャット,どんなスピード感？,丁寧？ラフ？,どんな時に使う？
醤油,めんつゆ,味の濃さの印象は？,どんな料理に使う？,香りは強い？弱い？
ソフトクリーム,かき氷,温度のイメージは？,食べるスピードは？,夏に合う？冬に合う？
スープ,シチュー,重さは軽い？重い？,寒い日に合う？,色のイメージは？
クリスマス,バレンタイン,雰囲気は明るい？甘い？,どんな色の印象？,どんな人が喜びそう？
こどもの日,ひな祭り,どんな飾りの印象？,色のイメージは？,外？室内？
スキー,スノーボード,動き方のイメージは？,転んだ時の感じは？,スピード感は？
ウォーキング,ジョギング,どんな時にやる？,息の荒さは？,服装のイメージは？
公園,遊園地,静か？にぎやか？,どんな人が多い？,どんな音が聞こえそう？
浴槽,シンク,水の量のイメージは？,使う時間帯は？,どんな光景が似合う？
コーヒー,紅茶,香りの強さは？,どんな時間に飲む？,気分は落ち着く？スッキリ？
シチュー,カレー,色の濃さは？,どんな香り？,どんな季節に合う？
キャラメル,チョコレート,甘さのタイプは？,溶ける速さは？,色の深みは？
カンガルー,コアラ,動き方のイメージは？,性格は？,どんな音がしそう？
焼酎,ウイスキー,香りの印象は？,度数のイメージは？,どんな場面で飲みそう？
テニス,卓球,動く範囲は広い？狭い？,ラケットの音は？,体力の使い方は？
ベット,布団,寝たときの感じは？,暖かさは？,どんな部屋に合う？
冬休み,春休み,どんな気候のイメージ？,過ごし方は？,気分は重い？軽い？
大晦日,お正月,静か？にぎやか？,どんな色の印象？,どんな食べ物が似合う？
風呂掃除,トイレ掃除,どんな匂いのイメージ？,力は必要？,どんな気分になる？
アルバイト,パート,働く時間の印象は？,雰囲気は忙しい？ゆっくり？,どんな人が多い？
リス,ネズミ,動く速さは？,鳴き声のイメージ？,どんな環境にいそう？
ダイビング,シュノーケリング,水の深さの印象？,息苦しさは？,見える景色は？
ハサミ,カッター,切る感覚は？,音はどんな？,安全さのイメージは？
梨,リンゴ,食感は？,固さは？,どんな季節のイメージ？
グラタン,ドリア,どんな香り？,重さは？,どんな温度感？
ブロッコリー,カリフラワー,色の印象？,食感は？,料理に使う頻度は？
浮き輪,ライフジャケット,安心感は？,どんな場面で使う？,使う時の姿勢は？
マグカップ,コーヒーカップ,持ち手の感じは？,重さは？,どんな雰囲気の飲み物？
スカウト,ナンパ,声のかけ方は？,緊張感は？,どんな場所で起きそう？
寺,神社,雰囲気は静か？厳か？,よく見る色は？,どんな人が訪れそう？
紫式部,清少納言,雰囲気は上品？華やか？,どんな色のイメージ？,性格を一言で？
清涼飲料水,スポーツドリンク,甘さの印象？,飲むタイミングは？,体に入った感じは？
肉まん,焼売,温かさは？,食感は？,どんな場面で食べる？
リンス,トリートメント,どんな手触りの変化？,香りは？,使う頻度は？
書店,図書館,静か？にぎやか？,どんな匂い？,どんな人が多い？
スマートフォン,タブレット端末,使う時の姿勢は？,重さの印象は？,どんな場面で使う？
中濃ソース,ウスターソース,味のキレは？,使う料理は？,香りの強さは？
iDeco,NISA,どんな計画性が必要？,気持ちは軽い？慎重？,どんなタイプの人が向いてる？
色鉛筆,クレヨン,描き心地は？,色の鮮やかさは？,どんな場面で使う？
鳥取県,島根県,雰囲気は静か？自然？,イメージカラーは？,どんな名所が浮かぶ？
おざなり,なおざり,どんな態度の違い？,どんな時に使いそう？,雰囲気は雑？冷たい？
時間,お金,どっちが重い？,どんな場面で意識する？,なくなったらどう感じる？
バンジージャンプ,飛び込み,心の準備は？,落ちるスピードは？,どんな景色が見えそう？
みかん,オレンジ,味の濃さは？,皮の印象は？,どんな季節のイメージ？
幼稚園,保育園,にぎやか？穏やか？,どんな声が聞こえそう？,どんな時間割？
お酒,煙草,気分の変化は？,香りの強さは？,どんな場面で使う？
喫茶店,食堂,静か？にぎやか？,どんな匂い？,どんな客層？
盆踊り,ディスコ,音楽のテンポは？,人の多さは？,雰囲気は明るい？暗い？
レモン,グレープフルーツ,酸っぱさは？,香りの強さは？,どんな色の印象？
唐揚げ,フライドチキン,食感は？,脂の感じは？,どんなシーンで食べる？
束縛,ストーカー,距離感の違いは？,どんな気持ちになる？,重さの度合いは？
ビール,スパークリングワイン,泡の感じは？,飲む場面は？,味の軽さは？
カフェ,ファミレス,雰囲気は静か？にぎやか？,どんな匂い？,どんな人が来そう？
靴下,足袋,足ざわりは？,季節感は？,動きやすさは？
湖,池,広さのイメージ？,色は？,どんな生き物がいそう？
バッタ,ノミ,動く速さは？,跳ね方は？,どんな環境にいそう？
ポイントカード,ポイントアプリ,使う手間は？,管理しやすい？,どんな場面で使う？
パプアニューギニア,ニューカレドニア,気候の印象？,自然の雰囲気は？,どんな色を思い浮かべる？
